Nelemtj = 608, ElemNodeEnd = 127, ElemMyelenEnd = 607
Elemid = 122, Nodeid = 30, y = 0.0655469
Elemid = 123, Nodeid = 30, y = 0.0657031
Elemid = 124, Nodeid = 31, y = 0.067875
Elemid = 125, Nodeid = 31, y = 0.067875
Elemid = 126, Nodeid = 31, y = 0.0677969
Elemid = 127, Nodeid = 31, y = 0.0679531
Cm = 1.87e-11, Cn = 3.14e-09, Rf = 1.26e+08, Cm * Rf = 0.39564
 
v_InitObject: Node = 9600, Myelin = 2560, extracell = 0
Max Anistrength_1  = 1, Anistrength_2 = 1, Min Anistrength 1 = 1, Anistrength 2 = 1
SetUp 2D MF: ***********************************************************
LOCAL construction for 608 elements, adapated from MF1 = 333, MF2 = 275, MF3 = 0
AniConstruction = 100 % activated, Anistrength[0]: max = 1, min = 1

cnt1 = 12160 / 12160
======================================================
*** 1st Moving frames are in unit length ***
*** 2nd Moving frames are in unit length ***
*** Moving frames are Orthogonal
*** MF 0 = ( 0 , 1 , 0 ) 
*** MF 1 = ( 1 , 0 , 0 ) 
*** MF 2 = ( 0 , 0 , 1 ) 
ncdotMFFwd = ( 0.542122 , 0.8403 , 0 ) 
ncdotMFBwd = ( 0.542122 , 0.8403 , 0 ) 
Div: Euc - Cov = ( 8.89807e-12 , 1.39323e-11 , 0 ) 
Curl: Euc - Cov = ( 1.39323e-11 , 8.89807e-12 , 1.39323e-11 , 8.89807e-12 ) 
============ End of MMFInitObect ============
============ Moving frmaes for unitMF ============
cnt1 = 12160 / 12160
======================================================
*** 1st Moving frames are in unit length ***
*** 2nd Moving frames are in unit length ***
*** Moving frames are Orthogonal
*** MF 0 = ( 0 , 1 , 0 ) 
*** MF 1 = ( 1 , 0 , 0 ) 
*** MF 2 = ( 0 , 0 , 1 ) 
 ::::: 2D Varcoeff is Successfully Created ::::: 
 ::::: 2D Varcoeff is Successfully Created ::::: 
=======================================================================
	        EquationType: MMFNeuralEP
	        Session Name: ThinLine2DTestL06ISOV1
	        Spatial Dim.: 3
	  Max SEM Exp. Order: 4
	      Expansion Dim.: 2
	     Projection Type: Discontinuous Galerkin
	           Advection: explicit
	           Diffusion: implicit
	           Time Step: 1e-08
	        No. of Steps: 20000000
	 Checkpoints (steps): 100000
	    Integration Type: IMEXdirk_3_4_3
	            MMFOrder: MMFZero
	             Surface: Plane
	           DerivType: Euclidean
	          MediumType: Isotropy
	     Max Edge Length: 0.0005
	              MMFdir: TangentY
	        NeuralEPType: NeuralEP2D
	    SolverSchemeType: Default
	             TimeMap: DeActivated
	        TimeMapStart: 0
	          TimeMapEnd: 10000
	         ElemNodeEnd: 127
	       ElemMyelenEnd: 607
	         Temperature: 24
	             Helmtau: 1
	         ratio_re_ri: 1
=======================================================================
Initial Conditions:
  - Field um: 0
Initial: max um = 0
Writing: "ThinLine2DTestL06ISOV1_initial.chk" (0s, XML)
Steps: 100000   Time: 0.001       
 CPU Time: 42.7542 min.
(Nodeid,phi):  (0,1846.09),  (1,1246.76),  (2,16.097),  (3,0.225941),  (4,0.00259706),  (5,-0.000992864),  (6,-0.0010503),  (7,-0.00105149),  (8,-0.00105151),  (9,-0.00105151),  (10,-0.00105151),  (11,-0.00105151),  (12,-0.00105151),  (13,-0.00105151),  (14,-0.00105151),  (15,-0.00105151),  (16,-0.00105151),  (17,-0.00105151),  (18,-0.00105151),  (19,-0.00105151),  (20,-0.00105151),  (21,-0.00105151),  (22,-0.00105151),  (23,-0.00105151),  (24,-0.00105151),  (25,-0.00105151),  (26,-0.00105151),  (27,-0.00105151),  (28,-0.00105151),  (29,-0.00105151),  (30,-0.00105151),  (31,-0.0010515), 

Writing: "ThinLine2DTestL06ISOV1_1.chk" (0s, XML)
Steps: 200000   Time: 0.002       
 CPU Time: 48.548 min.
(Nodeid,phi):  (0,1620.34),  (1,1021.03),  (2,12.4043),  (3,0.173874),  (4,0.00175738),  (5,-0.00100893),  (6,-0.00105319),  (7,-0.00105411),  (8,-0.00105412),  (9,-0.00105412),  (10,-0.00105412),  (11,-0.00105412),  (12,-0.00105412),  (13,-0.00105412),  (14,-0.00105412),  (15,-0.00105412),  (16,-0.00105412),  (17,-0.00105412),  (18,-0.00105412),  (19,-0.00105412),  (20,-0.00105412),  (21,-0.00105412),  (22,-0.00105412),  (23,-0.00105412),  (24,-0.00105412),  (25,-0.00105412),  (26,-0.00105412),  (27,-0.00105412),  (28,-0.00105412),  (29,-0.00105412),  (30,-0.00105412),  (31,-0.00105411), 

Writing: "ThinLine2DTestL06ISOV1_2.chk" (0s, XML)
Steps: 300000   Time: 0.003       
 CPU Time: 48.5038 min.
(Nodeid,phi):  (0,1528.18),  (1,928.872),  (2,12.045),  (3,0.16881),  (4,0.00167344),  (5,-0.0010128),  (6,-0.00105578),  (7,-0.00105667),  (8,-0.00105668),  (9,-0.00105668),  (10,-0.00105668),  (11,-0.00105668),  (12,-0.00105668),  (13,-0.00105668),  (14,-0.00105668),  (15,-0.00105668),  (16,-0.00105668),  (17,-0.00105668),  (18,-0.00105668),  (19,-0.00105668),  (20,-0.00105668),  (21,-0.00105668),  (22,-0.00105668),  (23,-0.00105668),  (24,-0.00105668),  (25,-0.00105668),  (26,-0.00105668),  (27,-0.00105668),  (28,-0.00105668),  (29,-0.00105668),  (30,-0.00105668),  (31,-0.00105667), 

Writing: "ThinLine2DTestL06ISOV1_3.chk" (0s, XML)
Steps: 400000   Time: 0.004       
 CPU Time: 48.5094 min.
(Nodeid,phi):  (0,1478.54),  (1,879.231),  (2,12.5045),  (3,0.175288),  (4,0.0017751),  (5,-0.00101364),  (6,-0.00105825),  (7,-0.00105918),  (8,-0.00105919),  (9,-0.00105919),  (10,-0.00105919),  (11,-0.00105919),  (12,-0.00105919),  (13,-0.00105919),  (14,-0.00105919),  (15,-0.00105919),  (16,-0.00105919),  (17,-0.00105919),  (18,-0.00105919),  (19,-0.00105919),  (20,-0.00105919),  (21,-0.00105919),  (22,-0.00105919),  (23,-0.00105919),  (24,-0.00105919),  (25,-0.00105919),  (26,-0.00105919),  (27,-0.00105919),  (28,-0.00105919),  (29,-0.00105919),  (30,-0.00105919),  (31,-0.00105918), 

Writing: "ThinLine2DTestL06ISOV1_4.chk" (0s, XML)
Steps: 500000   Time: 0.005       
 CPU Time: 48.5237 min.
